,compound,create_date,negative,neutral,news_media,positive,tweets_ago
7,-0.5574,2017-12-02 22:45:06+00:00,0.247,0.753,CNN,0.0,-7
8,0.0,2017-12-02 22:30:06+00:00,0.0,1.0,CNN,0.0,-8
9,0.4019,2017-12-02 22:15:07+00:00,0.0,0.816,CNN,0.184,-9
10,-0.4215,2017-12-02 22:00:05+00:00,0.167,0.833,CNN,0.0,-10
11,-0.7096,2017-12-02 21:45:05+00:00,0.349,0.651,CNN,0.0,-11
12,-0.8625,2017-12-02 21:30:14+00:00,0.516,0.484,CNN,0.0,-12
13,0.1779,2017-12-02 21:15:16+00:00,0.0,0.898,CNN,0.102,-13
14,0.0,2017-12-02 21:00:10+00:00,0.0,1.0,CNN,0.0,-14
15,-0.6369,2017-12-02 20:45:51+00:00,0.346,0.42,CNN,0.234,-15
16,-0.4404,2017-12-02 20:30:38+00:00,0.139,0.861,CNN,0.0,-16
17,-0.5859,2017-12-02 20:15:04+00:00,0.226,0.774,CNN,0.0,-17
18,-0.5106,2017-12-02 20:00:55+00:00,0.193,0.807,CNN,0.0,-18
19,0.0,2017-12-02 19:45:12+00:00,0.0,1.0,CNN,0.0,-19
20,-0.34,2017-12-02 19:30:05+00:00,0.167,0.833,CNN,0.0,-20
21,-0.2263,2017-12-02 19:15:10+00:00,0.128,0.872,CNN,0.0,-21
22,0.128,2017-12-02 19:00:13+00:00,0.189,0.592,CNN,0.219,-22
23,-0.4215,2017-12-02 18:45:09+00:00,0.237,0.763,CNN,0.0,-23
24,0.4019,2017-12-02 18:30:02+00:00,0.0,0.847,CNN,0.153,-24
25,0.0,2017-12-02 18:15:03+00:00,0.0,1.0,CNN,0.0,-25
26,-0.5994,2017-12-02 18:00:04+00:00,0.231,0.769,CNN,0.0,-26
27,0.0,2017-12-02 17:45:05+00:00,0.0,1.0,CNN,0.0,-27
28,0.128,2017-12-02 17:30:04+00:00,0.0,0.842,CNN,0.158,-28
29,0.0,2017-12-02 17:15:06+00:00,0.0,1.0,CNN,0.0,-29
30,-0.1027,2017-12-02 17:00:06+00:00,0.069,0.931,CNN,0.0,-30
31,-0.3818,2017-12-02 16:45:07+00:00,0.224,0.776,CNN,0.0,-31
32,-0.3597,2017-12-02 16:30:13+00:00,0.161,0.839,CNN,0.0,-32
33,0.4404,2017-12-02 16:15:05+00:00,0.0,0.828,CNN,0.172,-33
34,-0.8519,2017-12-02 16:00:22+00:00,0.383,0.617,CNN,0.0,-34
35,0.7906,2017-12-02 15:45:09+00:00,0.0,0.696,CNN,0.304,-35
36,0.0,2017-12-02 15:27:52+00:00,0.0,1.0,CNN,0.0,-36
37,0.0,2017-12-02 15:00:30+00:00,0.0,1.0,CNN,0.0,-37
38,0.8074,2017-12-02 14:55:33+00:00,0.0,0.722,CNN,0.278,-38
39,0.0,2017-12-02 14:45:04+00:00,0.0,1.0,CNN,0.0,-39
40,0.3818,2017-12-02 14:38:05+00:00,0.0,0.885,CNN,0.115,-40
41,0.0,2017-12-02 14:30:51+00:00,0.0,1.0,CNN,0.0,-41
42,-0.4404,2017-12-02 14:10:16+00:00,0.162,0.838,CNN,0.0,-42
43,0.5423,2017-12-02 14:00:18+00:00,0.0,0.821,CNN,0.179,-43
44,-0.7845,2017-12-02 13:40:08+00:00,0.257,0.743,CNN,0.0,-44
45,-0.6478,2017-12-02 13:29:03+00:00,0.227,0.773,CNN,0.0,-45
46,0.0,2017-12-02 13:00:22+00:00,0.0,1.0,CNN,0.0,-46
47,-0.4404,2017-12-02 12:30:21+00:00,0.146,0.854,CNN,0.0,-47
48,0.7574,2017-12-02 12:00:37+00:00,0.0,0.706,CNN,0.294,-48
49,0.0,2017-12-02 11:30:36+00:00,0.0,1.0,CNN,0.0,-49
50,0.0,2017-12-02 11:01:08+00:00,0.0,1.0,CNN,0.0,-50
51,0.0,2017-12-02 10:30:21+00:00,0.0,1.0,CNN,0.0,-51
52,-0.3612,2017-12-02 10:00:21+00:00,0.128,0.872,CNN,0.0,-52
53,-0.296,2017-12-02 09:30:15+00:00,0.235,0.539,CNN,0.225,-53
54,-0.2023,2017-12-02 09:00:27+00:00,0.079,0.921,CNN,0.0,-54
55,0.6908,2017-12-02 08:29:07+00:00,0.0,0.749,CNN,0.251,-55
56,0.0,2017-12-02 08:00:15+00:00,0.0,1.0,CNN,0.0,-56
57,0.0258,2017-12-02 07:30:06+00:00,0.1,0.795,CNN,0.105,-57
58,0.0,2017-12-02 07:09:54+00:00,0.0,1.0,CNN,0.0,-58
59,-0.6369,2017-12-02 07:02:24+00:00,0.174,0.826,CNN,0.0,-59
60,-0.1027,2017-12-02 06:30:14+00:00,0.072,0.928,CNN,0.0,-60
61,-0.0516,2017-12-02 06:00:18+00:00,0.124,0.762,CNN,0.114,-61
62,0.0,2017-12-02 05:30:06+00:00,0.0,1.0,CNN,0.0,-62
63,0.0,2017-12-02 05:20:17+00:00,0.0,1.0,CNN,0.0,-63
64,0.0,2017-12-02 05:02:41+00:00,0.0,1.0,CNN,0.0,-64
65,0.0,2017-12-02 04:30:07+00:00,0.0,1.0,CNN,0.0,-65
66,0.4939,2017-12-02 04:00:07+00:00,0.0,0.775,CNN,0.225,-66
67,0.0772,2017-12-02 03:30:22+00:00,0.093,0.802,CNN,0.105,-67
68,0.1779,2017-12-02 03:00:18+00:00,0.0,0.825,CNN,0.175,-68
69,0.0,2017-12-02 02:50:05+00:00,0.0,1.0,CNN,0.0,-69
